Name,Website,Description,Growth Score,Mindshare Score,Weekly Momentum,Employee Count,Employee Count Last Month,Employees Added This Month,Employee Growth Last Mo,Employee Count 6 Months Ago,Employees Added Last 6 Months,Employee Growth Last 6 Months,Est. Monthly Uniques,Est. Monthly Uniques Week Ago,Monthly Uniques Week Over Week Growth,Est. Monthly Uniques Month Ago,Monthly Uniques Month Over Month Growth,Est. Mobile Downloads,Est. Monthly Mobile Downloads Week Ago,Monthly Mobile Downloads Week Over Week Growth,Est. Monthly Mobile Downloads Month Ago,Monthly Mobile Downloads Month Over Month Growth,Months Since Last Funding,Employees Added Since Last Funding,New Person Months Since Last Funding,New Funding Employee Growth,Founded,Stage,Investors,Total Funding,Last Funding,Last Funding Amount,Location,City,Region,State,Country,Continent,Business Models,Industries,Keywords,Has Mobile App,Has Google Play App,Has iTunes App
Rightware Oy,rightware.com,"Rightware makes Kanzi UI design software that enables rapid creation and deployment of beautiful user interfaces for cars, including Clusters, IVIs and HUDs",525,507,-616,59,58,1,2%,59,0,0%,511,807,-37%,875,-42%,,,,,,46,16,445,11685.39,2009,Exited (acquired),"Inventure Oy,Nexit Ventures",$5.2M,2013-05-14,"$5,200,000",Helsinki,Helsinki,,,Finland,Europe,B2B,"automotive,hardware,hardware peripherals,market research",,No,No,No
Marvell Technology,marvell.com,"Marvell is a leader in storage, communications, and consumer silicon solutions. Marvell's diverse product portfolio includes; switching, transceiver, communications controller, processor, wireless, power management, and storage solutions that power the entire; communications infrastructure.",525,-17,33,"6,035","5,998",37,1%,"5,843",192,3%,"267,756","269,454",-1%,"274,278",-2%,,,,,,103,385,3467,3749.64,1995,Exited (acquired),"6th AP Fund,Accel Partners,Alta Partners,Amadeus Capital Partners,Atlas Venture,Lightspeed Venture Partners,Tallwood Venture Capital",$53.0M,2008-08-14,"$13,000,000",Bay Area,Santa Clara,Bay Area,CA,United States,North America,B2B,"communications equipment,data storage,fashion,hardware,hardware peripherals,information security,internet of things,physical storage,security,semiconductors,storage,telecommunications",,No,No,No
Nest Labs,nest.com,"Nest reinvents unloved but important home products, like the thermostat and smoke alarm. The company focuses on delighting customers with simple, beautiful and thoughtful hardware, software and services.",522,-365,1678,995,966,29,3%,818,177,22%,"2,069,288","2,013,078",3%,"1,787,796",16%,"23,401","22,809",3%,"15,578",50%,49,799,11295,7082.78,2010,Exited (acquired),"Coyote Ridge Ventures,Dave Morin,Generation Investment Management,Google Ventures,Intertrust,Kleiner Perkins Caufield & Byers,Lightspeed Venture Partners,Red Sea Venture Partners,Shasta Ventures,Slow Ventures,Venrock",$80.0M,2013-01-30,"$80,000,000",Bay Area,Palo Alto,Bay Area,CA,United States,North America,B2C,"consumer electronics,hardware,internet of things,physical security,security",android,Yes,Yes,Yes
Conexant Systems,conexant.com,"Conexant is a leading provider of innovative semiconductor solutions for imaging, audio, embedded modem, and video surveillance applications.",511,511,611,965,960,5,1%,937,28,3%,"40,007","37,838",6%,"18,724",114%,,,,,,,,,Undisclosed,1999,Exited (acquired),"Lightspeed Venture Partners,Selby Ventures,TPG Capital",$0,,Undisclosed,Los Angeles,Irvine,Los Angeles,CA,United States,North America,"B2B,B2C","e-commerce,hardware,hardware peripherals,semiconductors",,No,No,No
Pulse Electronics,pulseelectronics.com,Larsen Antenna Technologies was added in 2013.,502,221,-545,569,564,5,1%,540,29,5%,"4,188","4,004",5%,"3,923",7%,,,,,,51,240,4557,22533.46,1947,Exited (acquired),Oaktree Capital Management,$102.7M,2012-11-20,"$102,685,000",San Diego,San Diego,San Diego,CA,United States,North America,B2B,"cleantech,hardware,hardware peripherals,telecommunications,wind power",,No,No,No
KLA Tencor,kla-tencor.com,KLA-Tencor is a leading provider of process control and yield management solutions.,498,498,293,"5,097","5,084",13,0%,"5,025",72,1%,"58,403","57,527",2%,"55,574",5%,,,,,,,,,Undisclosed,1976,Exited (acquired),,Undisclosed,,Undisclosed,Bay Area,Milpitas,Bay Area,CA,United States,North America,B2B,"biotechnology,hardware,hardware peripherals,human resources hr,semiconductors",,No,No,No
BlueSprig,bluesprig.com,My Quick Note and Smart Writing App,485,485,-551,,,,,,,,"13,102","12,112",8%,"13,744",-5%,,"6,340",,"19,859",,63,,,0,,Exited (acquired),"Accel Partners,Founders Den",$10.0M,2011-12-15,"$10,000,000",Bay Area,San Francisco,Bay Area,CA,United States,North America,B2C,"data storage,hardware,hardware peripherals,information security,mobile,security,storage",,Yes,Yes,Yes
Lively,mylively.com,Gives older adults greater independence and confidence to live at home longer with an ongoing daily activity connection.,483,477,0,18,18,0,0%,18,0,0%,"3,935","5,136",-23%,"5,222",-25%,,,,,,42,5,143,33566.43,2012,Exited (acquired),"Cambia Health Solutions,Maveron",$7.3M,2013-09-18,"$4,800,000",Bay Area,San Francisco,Bay Area,CA,United States,North America,B2C,"fitness and wellness,hardware,internet of things,wearables","elder care,health & wellness,internet of things,quantified self",No,No,No
Altera,altera.com,"Altera automotive-grade FPGAs, SoCs, CPLDs, and power products offer scalable processing platforms that give automotive designers the flexibility to meet performance requirements, lower costs, minimize risk, and accelerate time to market.",453,453,652,"2,555","2,638",-83,-3%,"3,051",-496,-16%,"369,726","375,691",-2%,"386,171",-4%,,,,,,,,,Undisclosed,1983,Exited (acquired),Scale Venture Partners,$0,,Undisclosed,Bay Area,San Jose,Bay Area,CA,United States,North America,B2B,"cleantech,data storage,hardware,hardware peripherals,information security,security,storage,wind power",,No,No,No
EKT,ekt2.com,"Shop Online with EKT in Lebanon. EKT is a leading retailer and wholesaler of specialized and everyday electronics, mobile accessories, system solutions.",436,436,6,,,,,,,,,,,,,,,,,,,,,Undisclosed,1969,Exited (acquired),,Undisclosed,,Undisclosed,Beirut,Beirut,,,Lebanon,Asia,,"hardware,hardware peripherals,physical security,security",,No,No,No
MOTO Development Group,moto.com,"Motorola Mobility exists to invent, build and deliver the best mobile devices on the planet. Buy unlocked phones and wearables. See all Moto special offers.",426,426,-16,3,3,0,0%,3,0,0%,2,2,0%,2,0%,,,,,,,,,Undisclosed,1991,Exited (acquired),,Undisclosed,,Undisclosed,Bay Area,San Francisco,Bay Area,CA,United States,North America,B2C,"e-commerce,hardware,software development",design,No,No,No
Wavelink,wavelink.com,"Wavelink is a provider of MDM, wireless infrastructure management, terminal emulation, voice and mobile application development software.",406,406,-7,59,63,-4,-6%,64,-5,-8%,"16,902","14,692",15%,"24,030",-30%,,,,,,,,,Undisclosed,1992,Exited (acquired),WestView Capital Partners,$0,,Undisclosed,Salt Lake City,South Jordan,Salt Lake City,UT,United States,North America,B2B,"enterprise software,hardware,hardware peripherals",,No,No,No
Comtech EF Data,comtechefdata.com,Comtech EF Data develops innovative and market-leading satellite communication products.A Our advanced solutions are enabling bandwidth efficiencies and link,405,405,925,214,213,1,0%,210,4,2%,"2,019","1,786",13%,"1,261",60%,,,,,,,,,Undisclosed,,Exited (acquired),,Undisclosed,,Undisclosed,Phoenix,Tempe,Phoenix,AZ,United States,North America,B2B,"consumer electronics,data storage,hardware,hardware peripherals,storage",,No,No,No
Polaroid,polaroid.com,"Polaroid is one of the most trusted, well-respected and recognizable brands in the world. It began 75 years ago with Polaroid instant film and cameras. Today, Polaroid continues to expand its range of products that deliver the quality and exceptional value for which the brand has long stood.",388,388,-338,329,325,4,1%,307,22,7%,"375,542","356,597",5%,"341,285",10%,,,,,,,,,Undisclosed,,Exited (acquired),,Undisclosed,,Undisclosed,Minneapolis,Minnetonka,Minneapolis,MN,United States,North America,B2C,"consumer electronics,e-commerce,hardware",,Yes,No,Yes
AMD,amd.com,"Explore a wide range of innovative next generation computing processors, graphics, and Immersive VR solutions by Advanced Micro Devices (AMD). Visit AMD.com now!",388,388,384,"10,863","10,308",555,5%,"10,834",29,0%,"3,389,114","3,399,902",0%,"3,277,371",3%,,,,,,,,,Undisclosed,,Exited (acquired),US Venture Partners,$0,,Undisclosed,Sunnyvale,Sunnyvale,Austin,CA,United States,North America,B2C,"computer hardware,gaming,hardware,hardware peripherals",fortune 500,No,No,No
Acteon Group,acteongroup.com,"Acteon, a French manufacturer of dental equipment, imaging techologies and consumables.",372,372,185,,,,,,,,,,,,,,,,,,,,,Undisclosed,2003,Exited (acquired),,Undisclosed,,Undisclosed,France,,,,France,Europe,,"hardware,hardware peripherals,healthcare,medical devices",,No,No,No
Brookfield Engineering,brookfieldengineering.com,Brookfield AMETEK provides precision viscosity instruments to a variety of industries worldwide.,372,372,57,80,,,,,,,,,,,,,,,,,,,,Undisclosed,1934,Exited (acquired),,Undisclosed,,Undisclosed,Boston,Middleboro,Boston,MA,United States,North America,,"hardware,manufacturing",,No,No,No
SIHI Group,sterlingsihi.com,"We manufacture SIHI liquid pumps, vacuum pumps, dry vacuum pumps and engineered systems for the process industries.",370,370,455,,,,,,,,,,,,,,,,,,,,,Undisclosed,,Exited (acquired),,Undisclosed,,Undisclosed,Itzehoe,Itzehoe,,,Germany,Europe,,"cleantech,hardware,hardware peripherals,healthcare,pharmaceuticals,physical security,security,wind power",,No,No,No
Misfit Wearables,misfit.com,Misfit activity trackers and wearable technology track your activity and monitor your sleep. FREE shipping and 24/7 support.,368,261,-24,164,153,11,7%,134,30,22%,"527,759","518,707",2%,"496,147",6%,"5,861","4,470",31%,"3,669",60%,27,58,369,108401.08,2011,Exited (acquired),"AFSquare,Founders Fund,GGV Capital ,Horizons Ventures,JD.com,Khosla Ventures,Max Levchin,Norwest Venture Partners,O'Reilly AlphaTech Ventures,Shunwei China Internet Fund,TenOneTen Ventures,Translink Capital,Xiaomi,incTANK Ventures",$63.0M,2014-12-02,"$40,000,000",Bay Area,San Francisco,Bay Area,CA,United States,North America,B2C,"e-commerce,fashion,fitness and wellness,hardware,human resources hr,internet of things,wearables","fitness,health & wellness,internet of things,pioneer250",Yes,Yes,Yes
Astral Battles,windowsphone.com,Electronic gym notebook,368,368,-1128,,,,,,,,"3,965,239","4,181,663",-5%,"4,862,674",-18%,,,,,,,,,Undisclosed,,Exited (acquired),,Undisclosed,,Undisclosed,Durham,Durham,,NC,United States,North America,"B2B,B2C,Metamediary","advertising,data storage,entertainment,fitness and wellness,gaming,hardware,hardware peripherals,information security,mobile,security,social networking,storage","fitness,gambling,health & wellness,mobile advertising,photo editing,photo sharing,photography,reviews & recommendations,social media",Yes,Yes,No
runtastic,runtastic.com,"Runtastic is a leading mobile health and fitness company whose products make exercise easy and fun. Runtastic combines an application platform, hardware device, and an online service which together create a fitness and health ecosystem that can measure any activity data.",367,262,-226,143,142,1,1%,136,7,5%,"2,142,328","2,151,854",0%,"2,120,355",1%,"21,702","22,917",-5%,"26,454",-18%,58,92,2173,Undisclosed,2009,Exited (acquired),"Hansi Hansmann,i5invest",$0,2012-05-01,Undisclosed,Pasching,Pasching,,,Austria,Europe,B2C,"entertainment,fitness and wellness,hardware,mobile,social networking","android,blackberry,community,fitness,gps,health & wellness,iphone,nutrition,sports",Yes,Yes,Yes
Maplin Electronics,maplin.co.uk,"Maplin Electronics: Shop our extensive range of products online or instore now. Delivery as fast as 90 minutes, click & collect, free delivery with orders over PS10.",363,158,-9,752,738,14,2%,667,85,13%,"1,207,912","1,207,372",0%,"1,204,930",0%,,,,,,29,126,975,Undisclosed,1972,Exited (acquired),Beringea,$0,2014-10-13,Undisclosed,United Kingdom,,,,United Kingdom,Europe,B2C,"banking,consumer services,e-commerce,hardware,physical security,retail,security",,No,No,No
Teledyne Dalsa,teledynedalsa.com,Teledyne DALSA is a Canadian company specializing in the design and manufacture of specialized electronic imaging components,362,362,26,652,650,2,0%,516,136,26%,,,,,,,,,,,,,,Undisclosed,1980,Exited (acquired),,Undisclosed,,Undisclosed,Waterloo,Waterloo,,ON,Canada,North America,B2B,"hardware,hardware peripherals,semiconductors",,No,No,No
Allgosystems,allgosystems.com,"AllGo Embedded Systems is a leading product design company focused on providing embedded multimedia solutions for automotive, consumer and general embedded markets. We licensed our Multimedia / Smartphone Connectivity software, ADAS solutions and multimedia codecs to automotive customers worldwide.",359,359,43,132,128,4,3%,109,23,21%,145,174,-17%,430,-66%,,,,,,,,,Undisclosed,2005,Exited (acquired),,Undisclosed,,Undisclosed,Bangalore,Bangalore,,,India,Asia,,"automotive,consumer electronics,hardware,hardware peripherals,information security,security",,No,No,No
Tradoria,tradoria.de,Tradoria offers plug and sell software that allows merchants to set-up online shops through its shopping portal.,358,358,73,,,,,,,,"3,878","3,363",15%,"2,716",43%,,,,,,86,,,Undisclosed,2004,Exited (acquired),"Dumont Venture,Seventure Partners",$0,2010-01-19,Undisclosed,Osterholz-Scharmbeck,Osterholz-Scharmbeck,,,Germany,Europe,B2C,"computer hardware,e-commerce,hardware",,No,No,No
SMART Technologies,smarttech.com,"From quarterly board meetings to weekly study groups, our collaboration software & interactive displays create the perfect environment for team efficiency.",354,354,-1787,780,819,-39,-5%,768,12,2%,"550,599","535,729",3%,"498,977",10%,156,173,-10%,186,-16%,,,,Undisclosed,1987,Exited (acquired),"Apax Partners,Intel Capital",$0,,Undisclosed,Calgary,Calgary,,AB,Canada,North America,B2B,"education,hardware,hardware peripherals",,Yes,Yes,Yes
IXYS,ixys.com,"IXYS Corporation a Silicon Valley power semiconductor company, has been developing technology-driven products to improve power conversion",353,353,-911,113,113,0,0%,115,-2,-2%,"10,345","9,413",10%,"7,929",30%,,,,,,,,,Undisclosed,1983,Exited (acquired),,Undisclosed,,Undisclosed,Lowell,Lowell,,AR,United States,North America,B2B,"cleantech,hardware,hardware peripherals,healthcare,medical devices,semiconductors,solar power,wind power",,No,No,No
Milacron,milacron.com,Our power to engineer solutions is the result of combining local expertise with a global team of the best that the industry has to offer across three,350,350,1065,"1,008",,,,,,,,,,,,,,,,,,,,Undisclosed,1884,Exited (acquired),,Undisclosed,,Undisclosed,,,,,,,,"hardware,hardware peripherals",,No,No,No
Guyism,guyism.com,A leading men's lifestyle brand,345,345,95,7,7,0,0%,8,-1,-13%,"6,912","6,903",0%,"6,349",9%,,,,,,,,,Undisclosed,,Exited (acquired),,Undisclosed,,Undisclosed,New York,New York,New York,NY,United States,North America,B2C,"email,entertainment,hardware,media","blogging,men,social media,sports",No,No,No
Planar Systems,planar.com,"Planar is your choice for digital display and signage solutions with technology including touch screen and 4k displays, video walls, desktops, and more.",344,344,25,352,352,0,0%,353,-1,0%,"86,118","88,725",-3%,"85,397",1%,,,,,,,,,Undisclosed,1983,Exited (acquired),,Undisclosed,,Undisclosed,Portland,Beaverton,Portland,OR,United States,North America,B2B,"computer hardware,consumer electronics,hardware,hardware peripherals",,No,No,No
UTC Aerospace Systems,utcaerospacesystems.com,Goodrich Aerospace,343,343,1356,"8,770",,,,,,,"36,278","36,678",-1%,,,,,,,,,,,Undisclosed,2012,Exited (acquired),,Undisclosed,,Undisclosed,Charlotte,Charlotte,Charlotte,NC,United States,North America,,"cleantech,hardware,hardware peripherals,physical security,security,transportation,wind power",,No,No,No
GTA TeleGuam,gta.net,Guam's complete telecommunications company providing - from wireless cell phones to digital TV and broadband internet service.,336,336,117,117,115,2,2%,103,14,14%,422,489,-14%,885,-52%,,,,,,,,,Undisclosed,,Exited (acquired),,Undisclosed,,Undisclosed,Tamuning,Tamuning,,,United States,North America,B2C,"hardware,hardware peripherals,telecommunications",,No,No,No
Fibercore,fibercore.com,"Homepage - Fibercore are first in Speciality Fiber. With over 30 years experience of the Specialty Optical Fiber industry, Fibercore Ltd, the World leader in its field, is exclusively dedicated to the design, manufacture and commercialization of specialty fibers. With product ranges available offering Polarization Maintaining, Bend-Insensitive, Rare-Earth Doped, Cladding-Pump and Photosensitive fibers, commitment to the industry continues with the development of new all-silica and polarizing fibers.",335,335,215,27,27,0,0%,27,0,0%,"1,097",925,19%,772,42%,,,,,,,,,Undisclosed,1982,Exited (acquired),,Undisclosed,,Undisclosed,Southampton,Southampton,,,United Kingdom,Europe,,"biotechnology,cleantech,hardware,hardware peripherals,healthcare,medical devices,wind power",,No,No,No
Metrico Wireless,metricowireless.com,Are your devices and services ready to launch? Is your service the best? We have the technology to evaluate the user experience of your devices and services.,333,333,202,23,23,0,0%,26,-3,-12%,162,83,95%,5,3140%,,,,,,,,,Undisclosed,2003,Exited (acquired),,Undisclosed,,Undisclosed,Frederick,Frederick,Washington D.C.,MD,United States,North America,B2B,"hardware,hardware peripherals",,No,No,No
Electro Rent,electrorent.com,"Electro Rent is a leading global provider of new and used test & measurement equipment for rent, lease, or sale. Browse our expansive inventory today.",333,333,828,232,231,1,0%,229,3,1%,"4,221","3,777",12%,"2,923",44%,,,,,,,,,Undisclosed,1965,Exited (acquired),,Undisclosed,,Undisclosed,Los Angeles,Van Nuys,Los Angeles,CA,United States,North America,B2B,"finance,hardware,hardware peripherals",,No,No,No
Vocalocity,vocalocity.com,Learn how a small business phone system from Vonage Business can help you cut costs and boost productivity. Learn about small business VoIP plans today!,331,-178,-40,630,620,10,2%,450,180,40%,"9,517","9,543",0%,"11,551",-18%,,,,"6,788",,66,454,5947,1597.44,2006,Exited (acquired),"Imlay Investments,JMI Equity,Noro-Moseley Partners,Pittco Capital Partners,TechOperators",$13.6M,2011-08-29,"$9,500,000",Atlanta,Atlanta,Atlanta,GA,United States,North America,B2B,"data storage,enterprise software,hardware,human resources hr,mobile,storage,telecommunications",voip,Yes,No,Yes
LaserBits,laserbits.com,Wholesale Laser Engraving Materials And Training For CO2 And Fiber Lasers For Engraving And Industrial Markets,330,330,122,,,,,,,,,,,,,,,,,,,,,Undisclosed,,Exited (acquired),,Undisclosed,,Undisclosed,Phoenix,Phoenix,Phoenix,AZ,United States,North America,,"e-commerce,hardware,hardware peripherals",,Yes,Yes,No
Applied Micro Circuits,apm.com,AppliedMicro Circuits Corporation (Nasdaq: AMCC) is a global leader in computing and connectivity solutions for next-generation cloud infrastructure and data centers.,326,326,224,126,126,0,0%,128,-2,-2%,"1,411","1,309",8%,"1,775",-21%,,,,,,,,,Undisclosed,1979,Exited (acquired),"Accel Partners,Asset Management Ventures (AMV),US Venture Partners",$0,,Undisclosed,Santa Clara,Santa Clara,Bay Area,CA,United States,North America,B2B,"cleantech,data storage,hardware,hardware peripherals,information security,media,security,semiconductors,storage,wind power",,No,No,No
Geocities,geocities.com,"Yahoo Web Hosting offers you a domain name, unlimited web hosting space, ecommerce web hosting, design tools to create a web site easily at a reasonable price.",319,319,-1103,11,11,0,0%,12,-1,-8%,"29,446","30,110",-2%,"31,995",-8%,,62,,62,,,,,Undisclosed,2005,Exited (acquired),InnoCal Venture Capital,$0,,Undisclosed,Metairie,Metairie,,PA,United States,North America,,"banking,education,entertainment,hardware,human resources hr,network / hosting / infrastructure",,Yes,Yes,Yes
SmartThings,smartthings.com,"SmartThings is the easiest way to turn your home into a smart home. Monitor, control, and automate your lights, locks, temperature, and more from anywhere using your smartphone.",319,158,69,164,156,8,5%,116,48,41%,"940,316","909,254",3%,"789,616",19%,,,,,,40,132,1299,9622.79,2012,Exited (acquired),"A-Grade Investments,Aaron Levie,Alexis Ohanian,BoxGroup,Chris Dixon,CrunchFund,David Tisch,Emil Michael,First Round Capital,Greylock Partners,Highland Capital Partners,Jared Hecht,Kal Vepuri,Kevin Colleran,Lerer Hippeau Ventures,Loic Le Meur,Martin Varsavsky,Matt Mullenweg,Max Levchin,Nathan Hanks,Ryan Sarver,SV Angel,Slow Ventures,Start Fund,Steve Martocci,Vivi Nevo,Voyager Capital,Zorik Gordon",$15.5M,2013-11-12,"$12,500,000",Minneapolis,Minneapolis,Minneapolis,MN,United States,North America,B2C,"automotive,consumer electronics,hardware,human resources hr,internet of things,physical security,security","internet of things,open source,small & medium sized business",Yes,Yes,No
BOSS Snowplow,bossplow.com,"Snow Plows and Snow Removal Equipment by The BOSS Snow Plow Manufacturer featuring Plows, Snowplows, Snow Blades, Snow Plow Parts, Salt Spreaders and Truck Snow Plows for Snow Plowing",315,315,408,53,52,1,2%,,,,"5,060","4,642",9%,"3,317",53%,,,,,,,,,Undisclosed,1985,Exited (acquired),,Undisclosed,,Undisclosed,Iron Mountain,Iron Mountain,,MI,United States,North America,B2C,"automotive,e-commerce,hardware,hardware peripherals,human resources hr",,No,No,No
Mophie,mophie.com,"Designs battery cases, portable batteries and other accessories for Apple and Android mobile devices. Its products are available in more than 60 countries.",312,143,141,243,243,0,0%,242,1,0%,"432,122","441,146",-2%,"460,011",-6%,"3,418",,,,,127,146,4678,213.77,2005,Exited (acquired),"Beringea,FreshTracks Capital,Village Ventures",$1.0M,2006-08-01,"$1,000,000",Los Angeles,Tustin,Los Angeles,CA,United States,North America,B2C,"consumer electronics,e-commerce,hardware",,Yes,No,Yes
ACL Airshop,aclairshop.com,"ACL Airshop provides ULD Leasing, ULD Sales, ULD Repair, ULD Management and air cargo control products including pallets, cargo nets, straps, ULD containers for horse and animal transport, and air freight management products and services for the aviation industry.",311,311,-273,19,,,,,,,,,,,,,,,,,,,,Undisclosed,1983,Exited (acquired),,Undisclosed,,Undisclosed,Easley,Easley,,SC,United States,North America,,"hardware,hardware peripherals",,No,No,No
Rear View Safety,rearviewsafety.com,One of the fastest growing providers of back up camera systems and video-based road safety solutions.,311,311,-1,,,,,,,,,,,,,,,,,,,,,Undisclosed,2007,Exited (acquired),,Undisclosed,,Undisclosed,New York,Brooklyn,New York,NY,United States,North America,,"automotive,e-commerce,hardware,hardware peripherals,physical security,security",,Yes,Yes,No
MakerBot,makerbot.com,"Games to play and display. I want to take at chess, checkers and other games and turn how you look at them on their head.",307,107,66,346,367,-21,-6%,395,-49,-12%,"490,875","493,279",0%,"516,415",-5%,35,35,0%,,,66,181,5172,1933.49,2009,Exited (acquired),"500 Startups,Bezos Expeditions,Brad Feld,Founder Collective,Foundry Group,Joshua Schachter,Lerer Hippeau Ventures,RRE Ventures,Sam Lessin,Shana Fisher,True Ventures",$10.0M,2011-08-23,"$10,000,000",New York,Brooklyn,New York,NY,United States,North America,"B2B,B2C","consumer electronics,hardware",diy,Yes,Yes,Yes
Brand,brand-rex.com,"Brand-Rex is a leading global supplier of standards based structured cabling systems for data centres. Cat5,Cat6, Cat6A, Cat7/7A and 10gigbyte network cabling.",305,305,-299,,,,,,,,,,,,,,,,,,,,,Undisclosed,1972,Exited (acquired),,Undisclosed,,Undisclosed,Glenrothes,Glenrothes,,,United Kingdom,Europe,,"hardware,hardware peripherals",,No,No,No
Fanhattan,fan.tv,"Find where to watch more than 1,000,000 movies and shows.",303,303,928,42,42,0,0%,40,2,5%,"70,267","81,444",-14%,"97,492",-28%,"12,599","10,036",26%,"1,505",737%,,,,Undisclosed,2010,Exited (acquired),"Greycroft Partners,New Enterprise Associates,Redpoint Ventures,e.ventures",$0,,Undisclosed,Bay Area,San Mateo,Bay Area,CA,United States,North America,"B2B,B2C","hardware,mobile,search",consumer electronics,Yes,Yes,Yes
Crimson Trace,crimsontrace.com,Crimson Trace is the undisputed leader in laser sighting technology for firearms.,301,301,1137,41,,,,,,,"43,912",,,,,,,,,,,,,Undisclosed,1994,Exited (acquired),,Undisclosed,,Undisclosed,Portland,Wilsonville,Portland,OR,United States,North America,B2C,"automotive,e-commerce,hardware,hardware peripherals",,No,No,No
AXSUN Technologies,axsun.com,Axsun Technologies develops a new approach to design and manufacture miniaturized optical micro-instruments for a variety of industries.,299,304,152,66,66,0,0%,69,-3,-4%,26,27,-4%,32,-19%,,,,,,124,-3,31,483870.97,1998,Exited (acquired),"Electro Scientific Industries,Millennium Technology Value Partners,Prism VentureWorks,Stata Venture Partners,VantagePoint Capital Partners",$15.0M,2006-11-07,"$15,000,000",Boston,Billerica,Boston,MA,United States,North America,B2B,"biotechnology,hardware,hardware peripherals,healthcare,medical devices,pharmaceuticals,telecommunications",,No,No,No
Atari,atari.com,"Atari produces, publishes and distributes interactive entertainment software for gaming platforms.",297,274,-304,273,271,2,1%,265,8,3%,"245,283","243,394",1%,"253,800",-3%,,"1,736",,"2,426",,138,20,255,28470.59,1972,Exited (acquired),"Boussard & Gavaudan Holding,Coghill Capital Management,Sark Fund",$7.3M,2005-09-15,"$7,260,000",New York,New York,New York,NY,United States,North America,B2C,"e-commerce,entertainment,gaming,hardware",,Yes,Yes,Yes
Precision Dynamics Corporation,pdcorp.com,"PDC is the leading global supplier of innovative identification solutions to the Healthcare, Leisure & Entertainment, and Law Enforcement markets",296,296,770,251,247,4,2%,228,23,10%,347,327,6%,547,-37%,,,,,,,,,Undisclosed,1956,Exited (acquired),,Undisclosed,,Undisclosed,Los Angeles,Valencia,Los Angeles,CA,United States,North America,B2B,"hardware,hardware peripherals,healthcare,medical devices,pharmaceuticals,travel",,No,No,No
Intersil,intersil.com,"Intersil Corporation engages in the design, manufacture, and marketing of analog integrated circuits (ICs).",294,294,23,"1,089","1,092",-3,0%,"1,105",-16,-1%,"216,039","216,954",0%,"207,833",4%,,,,,,,,,Undisclosed,1967,Exited (acquired),US Venture Partners,$0,,Undisclosed,Bay Area,Milpitas,Bay Area,CA,United States,North America,,"hardware,hardware peripherals,semiconductors",,No,No,No
Tessolve,tessolve.com,"Tessolve Semiconductor offers engineering in semiconductor design, test/product engineering, failure analysis, systems design.",288,288,-728,580,211,369,175%,517,63,12%,261,325,-20%,404,-35%,,,,,,,,,Undisclosed,2004,Exited (acquired),"Applied Ventures,Qualcomm Ventures",$0,,Undisclosed,Bangalore,Bangalore,,,India,Asia,B2B,"hardware,hardware peripherals,semiconductors",,No,No,No
M/A-COM,macomtech.com,M/A-COM Technology Solutions has sales engineers and representatives around the world. These highly trained specialists are your best,286,22,-274,761,762,-1,0%,753,8,1%,8,8,0%,8,0%,,,,,,74,222,3342,Undisclosed,1950,Exited (acquired),Summit Partners,$0,2011-01-12,Undisclosed,Boston,Lowell,Boston,MA,United States,North America,B2B,"hardware,hardware peripherals,physical security,retail,security,semiconductors",,No,No,No
FT Technologies,fttech.co.uk,FT Technologies,285,285,56,38,37,1,3%,32,6,19%,,,,,,,,,,,,,,Undisclosed,1981,Exited (acquired),,Undisclosed,,Undisclosed,London,London,London,,United Kingdom,Europe,,"cleantech,hardware,hardware peripherals,wind power",,No,No,No
AutoForm,autoform.com,"AutoForm offers software solutions for the die-making and sheet metal forming industries along the entire process chain. With 300 employees dedicated to this field, AutoForm is recognized as the leading provider of software for product manufacturability, tool and material cost calculation, die face design and virtual process optimization. All of the Top 20 automotive OEMs and most of their suppliers have selected AutoForm as their software of choice.",277,277,-494,,,,,,,,,,,,,,,,,,,,,Undisclosed,1995,Exited (acquired),,Undisclosed,,Undisclosed,Netherlands,,,,Netherlands,Europe,,"hardware,hardware peripherals",,No,No,No
Wayport,wayport.net,"AT&T services with Wi-Fi products can improve customer satisfaction, create digital engagement opportunities and deepen the understanding of your customers.",275,275,178,90,90,0,0%,91,-1,-1%,"1,351,166","1,375,573",-2%,"1,453,189",-7%,,,,,,,,,Undisclosed,,Exited (acquired),Star Ventures,$0,,Undisclosed,Dallas,Irving,Dallas,TX,United States,North America,B2B,"data storage,hardware,information security,physical security,security,storage",,No,No,No
Zilog,zilog.com,"Zilog is a trusted supplier of application specific, embedded system-on-chip (SoC) solutions for the industrial and consumer markets.",273,273,-51,180,180,0,0%,180,0,0%,"2,803","2,639",6%,"1,381",103%,,,,,,,,,Undisclosed,1974,Exited (acquired),"OVP Venture Partners,TPG Capital",$0,,Undisclosed,Bay Area,Milpitas,Bay Area,CA,United States,North America,B2B,"hardware,hardware peripherals,information security,security",,No,No,No
