Name,Website,Description,Employee Count,Employee Count Last Month,Employees Added This Month,Employee Growth Last Mo,Employee Count 6 Months Ago,Employees Added Last 6 Months,Employee Growth Last 6 Months,Est. Monthly Uniques,Est. Monthly Uniques Week Ago,Monthly Uniques Week Over Week Growth,Est. Monthly Uniques Month Ago,Monthly Uniques Month Over Month Growth,Est. Mobile Downloads,Est. Monthly Mobile Downloads Week Ago,Monthly Mobile Downloads Week Over Week Growth,Est. Monthly Mobile Downloads Month Ago,Monthly Mobile Downloads Month Over Month Growth,Months Since Last Funding,Employees Added Since Last Funding,New Person Months Since Last Funding,Founded,Stage,Investors,Total Funding,Last Funding,Last Funding Amount,Location,City,Region,State,Country,Continent,Business Models,Industries,Keywords,Has Mobile App,Has Google Play App,Has iTunes App
Interaxis Marketing,interaxismarketing.com,"SEO is becoming more and more important for businesses looking to get themselves in front of their customers online. If your business is not doing SEO, chances",,,,,,,,,,,,,,,,,,,,,,Exited (other),,Undisclosed,,Undisclosed,Denver,Denver,Denver,CO,United States,North America,,"analytics,marketing,marketing analytics",,No,No,No
Intercloud Systems,intercloudsys.com,InterCloud Systems provides cloud platforms and professional services and solutions to the corporate enterprise markets.,60,59,1,2%,53,7,13%,341,330,3%,210,62%,,,,,,28,27,235,2010,Exited (ipo),,$16.0M¾,10/20/14,"$4,350,000 ",New York,Red Bank,New York,NJ,United States,North America,B2B,"analytics,data storage,enterprise software,human resources hr,information security,security,storage,telecommunications",,No,No,No
InternetQ,internetq.com,Mobile Marketing & Entertainment,102,102,0,0%,99,3,3%,"10,644","9,271",15%,"8,680",23%,,,,,,,,,2000,Exited (ipo),,Undisclosed,,Undisclosed,Athens,Athens,London,,Greece,Europe,,"advertising,analytics,marketing,marketing analytics",,No,No,No
Interpublic Group,interpublic.com,"Interpublic Group is a global leader in modern marketing solutions. With offices in all major world markets, our companies specialize in consumer advertising, digital marketing, communications planning and media buying, public relations and specialty marketing.","2,289","2,270",19,1%,"2,187",102,5%,"538,281","541,768",-1%,"540,632",0%,,,,,,,,,,Exited (ipo),Baird Capital,$0¾,,Undisclosed,New York,New York,New York,NY,United States,North America,B2B,"advertising,analytics,enterprise software,human resources hr,marketing,marketing analytics",fortune 500,No,No,No
Interquest Group,interquestgroup.com,"The InterQuest Group is a specialist recruitment business operating in high growth areas in the 'new digital economy'. The Group works across permanent and contract recruitment in markets that are growing fast and will keep growing, including information security, data analytics, telecommunications, change management and digital skills. In each of these areas the Group operates as a distinct niche recruitment practice, integrated under the strong IQ brand.",264,258,6,2%,230,34,15%,463,459,1%,639,-28%,,,,,,,,,2001,Exited (ipo),Risk Capital Partners,$0¾,,Undisclosed,London,London,London,,United Kingdom,Europe,B2B,"analytics,career / job search,human resources hr,information security,marketing,marketing analytics,security",,No,No,No
Intersec,intersec.com,"Intersec is a leading fast data software vendor, designing innovative platforms enabling companies to leverage their Data.",127,129,-2,-2%,134,-7,-5%,833,802,4%,"1,168",-29%,,,,,,12,-13,168,2004,C,"CM-CIC Capital Finance,Cisco Investments,Harbert Management Corporation,Highland Capital Partners Europe,Innovacom,Omnes Capital",$30.0M¾,3/9/16,"$10,000,000 ",Paris La D_fense - Cedex,Paris La D_fense - Cedex,,,France,Europe,B2B,"analytics,business process management,data storage,marketing,marketing analytics,storage",,No,No,No
Intervolve,intervolve.com,"Intervolve provides supply chain software and services for the beverage industry, offering DistributionSuite, a retail execution app suit.",34,33,1,3%,37,-3,-8%,"4,778","4,899",-2%,"3,981",20%,,,,,,72,-8,70,1999,C,"NC Idea,Sanoch Management",$8.0M¾,2/25/11,"$5,981,405 ",Raleigh,Raleigh,Raleigh,NC,United States,North America,B2B,"analytics,marketing,marketing analytics",,No,No,No
Introhive,introhive.com,"Introhive eliminates the need for data entry and contact scrubbing, automatically syncing activities and contacts",42,39,3,8%,34,8,24%,839,861,-3%,826,2%,,,,,,20,20,123,2012,B,"Fortify Ventures,GrowthWorks Atlantic Venture Fund,New Brunswick Innovation Foundation,Salesforce Ventures,Virginia's Center for Innovative Technology",$10.6M¾,7/10/15,"$7,300,000 ",Fredericton,Fredericton,,NB,Canada,North America,"B2B,SaaS","analytics,finance,human resources hr,marketing,marketing analytics",sales,No,No,No
INVIDI Technologies,invidi.com,"INVIDI Technologies offers Advatar, an application that delivers addressable targeted advertising and marketing messages to viewers.",88,90,-2,-2%,81,7,9%,"3,580","3,464",3%,"3,360",7%,,,,,,71,40,860,2000,Exited (acquired),"BDC Venture Capital,EnerTech Capital,GroupM,InterWest Partners,Menlo Ventures,Motorola Solutions Venture Capital,NBC Universal,Verizon Ventures,Westbury Partners",$120.3M¾,4/14/11,"$49,000,000 ",Princeton,Princeton,New York,NJ,United States,North America,"B2B,SaaS","advertising,analytics,enterprise software",,No,No,No
Invigor Group,invigorgroup.com,Invigor Group is a leading information technology and digital solutions company. We are specialists in innovative business intelligence and big data solutions.,26,26,0,0%,,,,255,,,,,,,,,,,,,2012,Exited (ipo),,Undisclosed,,Undisclosed,Sydney,Sydney,,,Australia,Oceania,,"analytics,finance,marketing,marketing analytics",,No,No,No
iSentia,isentia.com,"iSentia is the Asia-Pacific region's leading media intelligence company, providing over 5,000 clients with media information, analysis and advice 24/7/365. iSentia has more than 1,100 employees across 17 countries filtering information from over 10,000 print, radio and television media outlets and over 250 million online conversations per month. Our talented people, innovative search technology, comprehensive coverage and expert research provides the tools and insight to allow our clients to manage media relationships effectively, track and analyse issues of interest across all media, and discover and share valuable insights that drive smarter decisions.",0,1,-1,-100%,1,-1,-100%,"124,756","121,796",2%,"118,434",5%,,,,,,,,,1982,Exited (ipo),,Undisclosed,,Undisclosed,Sydney,Sydney,,,Australia,Oceania,B2C,"analytics,marketing,marketing analytics",,No,No,No
Isobar/Aegis-France,isobar.fr,"Isobar is an award winning global, full service digital marketing agency. See how we can deliver successful ideas for your business.",,,,,,,,,,,,,,,,,,,,,,Exited (other),,Undisclosed,,Undisclosed,France,,,,France,Europe,,"advertising,analytics,marketing,marketing analytics",,No,No,No
iSpot.tv,ispot.tv,iSpot.tv provides solutions for brands and agencies to reach customers by connecting their TV campaigns with social media.,97,98,-1,-1%,88,9,10%,"727,702","725,119",0%,"713,298",2%,,,,,,22,43,628,2012,B,"Bryce Stevens,David Hehman,Doug Colbeck,Fred Hsu,Howard Love,Insight Venture Partners,Madrona Venture Group,Paul Stahura,TL Ventures",$27.5M¾,5/19/15,"$21,900,000 ",Seattle,Bellevue,Seattle,WA,United States,North America,"B2B,B2C,SaaS","advertising,analytics,entertainment,human resources hr,marketing,marketing analytics,media","brand marketing,social media marketing,streaming film / tv,tv",No,No,No
Iterable,iterable.com,"Iterable makes consumer growth marketing simple. Using Iterable, marketers send the right message, to the right device, at the right time.",35,32,3,9%,21,14,67%,"85,427","86,688",-1%,"89,557",-5%,,,,,,3,11,31,2013,B,"500 Startups,645 Ventures,AngelPad,AngelPad Spring 2013,Charles River Ventures (CRV),Index Ventures,Merus Capital,TEEC Angel Fund,Yun-Fang Juan",$32.2M¾,12/13/16,"$23,000,000 ",Bay Area,San Francisco,Bay Area,CA,United States,North America,"B2B,SaaS","analytics,e-commerce,email,enterprise software,human resources hr,marketing,marketing analytics,mobile",email marketing,No,No,No
iVantage Health Analytics,ivantagehealth.com,iVantage Health Analytics offers information products that help customers pinpoint key tactical advantages.,49,48,1,2%,45,4,9%,43,50,-14%,55,-22%,,,,,,45,20,842,2011,Late,Great Point Partners,$18.6M¾,6/7/13,"$10,000,000 ",Portland,Portland,Portland,OR,United States,North America,B2B,"analytics,enterprise software,finance,health it,healthcare,healthcare providers,marketing,marketing analytics",,No,No,No
Jahia,jahia.com,"Jahia is a leading provider of a customizable Digital Experience Management Open Source platform that aggregates apps, data and content and breaks down organiza",83,88,-5,-6%,94,-11,-12%,"71,335","61,814",15%,"58,162",23%,,,,,,25,33,847,2002,Late,Invus Group,$22.5M¾,2/10/15,"$22,500,000 ",Acacias,Acacias,,,Switzerland,Europe,B2B,"analytics,human resources hr,marketing,marketing analytics","java,open source",No,No,No
Jana Mobile,jana.com,Jana is a mobile advertising company whose products serve as a gateway to mobile content by leveraging advertising to offset user data costs in emerging markets.,199,194,5,3%,187,12,6%,"88,734","90,647",-2%,"80,731",10%,,,,,,13,137,1002,2009,C,"AOL Ventures,Kindred Partners,Publicis Groupe,Spark Capital,Verizon Ventures",$81.2M¾,2/18/16,"$57,000,000 ",Boston,Boston,Boston,MA,United States,North America,B2B,"advertising,analytics,enterprise software,marketing,marketing analytics,mobile","emerging markets,messagning,mobile advertising,sms",No,No,No
Jasper,jasper.com,Jasper Systems was added in 2013.,406,400,6,2%,365,41,11%,"38,618","38,215",1%,"38,392",1%,,,,,,34,168,1808,2004,Exited (acquired),"AB Global,Bench,Benchmark,DAG Ventures,RSTP,Sequoia Capital,SingTel Innov8,Temasek Holdings,Wing Venture Capital",$197.8M¾,4/21/14,"$50,000,000 ",Santa Clara,Santa Clara,Bay Area,,United States,North America,"B2B,SaaS","analytics,human resources hr,information security,internet of things,mobile,security","cloud computing,payments,point of sale,social media",No,No,No
Jaymail Email Marketing,jaymail.net,Small Business Email Marketing,1,1,0,0%,1,0,0%,2,2,0%,10,-80%,,,,,,,,,2007,Exited (other),,Undisclosed,,Undisclosed,Manchester,Manchester,,NH,United Kingdom,Europe,,"analytics,email,marketing,marketing analytics","digital marketing,email marketing",No,No,No
Jedox,jedox.com,"Jedox empowers you with powerful planning, effective analytics and beautiful reporting, on every device",141,132,9,7%,105,36,34%,"18,352","16,751",10%,"16,214",13%,,,,,,98,101,1689,2002,B,eCAPITAL Entrepreneurial Partners AG,$3.1M¾,1/1/09,Undisclosed,Freiburg,Freiburg,,,Germany,Europe,B2B,"analytics,human resources hr,marketing",business intelligence,Yes,Yes,No
Jellyvision,jellyvision.com,Hello! We're Jellyvision. We build interactive software that talks people through life's tough decisions.,323,326,-3,-1%,303,20,7%,"23,204","23,016",1%,"23,222",0%,,,,,,110,174,2819,2001,B,"Sigma Partners,Sigma West",$5.0M¾,1/1/08,"$5,000,000 ",Chicago,Chicago,Chicago,IL,United States,North America,"B2B,SaaS","analytics,gaming,human resources hr,media",,No,No,No
JethroData,jethro.io,"We make Real-Time Business Intelligence work on Hadoop. Integrates with Tableau, Qlik & SaaS analytics dashboards. Dedicated support team. Free evaluation.",32,32,0,0%,34,-2,-6%,,,,,,,,,,,21,27,327,2012,B,"Pitango Venture Capital,Square Peg Capital",$12.6M¾,6/9/15,"$8,100,000 ",Netanya,Netanya,,,Israel,Asia,"B2B,SaaS","analytics,enterprise software","big data,hadoop",No,No,No
Jobs2Web,jobs2web.com,"Jobs2Web offers an e-recruiting management platform that streamlines the identifying, screening, selecting and hiring of job applicants.",25,25,0,0%,25,0,0%,"46,661","46,731",0%,"48,835",-4%,,,,,,133,-4,84,2003,Exited (acquired),"Ken Holec,Updata Partners",$5.6M¾,1/21/06,"$5,300,000 ",Minneapolis,Minnetonka,Minneapolis,MN,United States,North America,B2B,"analytics,career / job search,enterprise software,human resources hr,marketing,marketing analytics",,No,No,No
John Ayling & Associates Ltd - United Kingdom,jaa-media.co.uk,,,,,,,,,,,,,,,,,,,,,,2014,Exited (other),,Undisclosed,,Undisclosed,London,London,London,,United Kingdom,Europe,,"advertising,analytics,marketing,marketing analytics",,No,No,No
JonDavid Enterprises,welcometoschool.co,"Social Entrepreneurship, Start Up, Education, Technology, The Red Cross",,,,,,,,2,1,100%,1,100%,,,,,,,,,,Exited (other),,Undisclosed,,Undisclosed,Spain,Plano,Dallas,,Spain,Europe,"B2B,B2C","analytics,education,entertainment,finance,mobile,payments","open source,payments",No,No,No
Jooicer,jooicer.com,Jooicer lets you grow your Twitter audience by using specific modules for each kind of action.,0,1,-1,-100%,1,-1,-100%,3,3,0%,3,0%,,,,,,,,,2014,Exited (other),,Undisclosed,,Undisclosed,Santa Eulalia Del RÍo,Santa Eulalia Del RÍo,,,Spain,Europe,B2B,"analytics,human resources hr,marketing,marketing analytics","big data,social media",No,No,No
Kaggle,kaggle.com,Kaggle is a platform for predictive modeling and analytics competitions and consulting.,81,81,0,0%,71,10,14%,"847,135","850,956",0%,"833,142",2%,,,,,,64,75,976,2010,Exited (acquired),"Data Collective,Founders Den,Gil Elbaz,Hal Varian,Index Ventures,Khosla Ventures,Max Levchin,Naval Ravikant,SV Angel,TenOneTen Ventures,Voyager Capital,Yuri Milner",$11.0M¾,11/2/11,"$11,000,000 ",Bay Area,San Francisco,Bay Area,CA,United States,North America,"B2B,Marketplace","analytics,human resources hr,machine learning,software development","big data,data mining,machine learning",No,No,No
Kalibrate,kalibratetech.com,The comprehensive business decision platform for fuel & convenience retail success. Kalibrate Total Site Visibility = Total Site Profitability,,,,,,,,1,1,0%,1,0%,,,,,,,,,,Exited (ipo),,Undisclosed,,Undisclosed,Manchester,Manchester,,,United Kingdom,Europe,,"analytics,marketing,marketing analytics",,Yes,Yes,No
Kapow Software,kapowsoftware.com,"Web Data: Integrate, Automate and Migrate. Any web-based source, automate business processes, connect legacy to cloud applications, integrate with partners - near real time, code-free.",55,57,-2,-4%,67,-12,-18%,"1,633","1,825",-11%,"4,706",-65%,,,,,,86,9,440,1998,Exited (acquired),"Kennet Partners,Morgan Stanley,Northcap Partners,Steamboat Ventures",$13.1M¾,1/13/10,"$1,500,000 ",Bay Area,Palo Alto,Bay Area,CA,United States,North America,B2B,"analytics,data storage,enterprise software,marketing,marketing analytics,storage",big data,No,No,No
Kenshoo,kenshoo.com,Search engine marketing technology platform for automation of SEM campaigns,531,526,5,1%,516,15,3%,"488,033","484,173",1%,"470,463",4%,,,,,,35,145,3988,2006,Late,"Arts Alliance Ventures,Digital Media Partners,Sequoia Capital,Tenaya Capital",$49.7M¾,4/9/14,"$20,000,000 ",Tel Aviv,Tel Aviv,,,Israel,Asia,B2B,"advertising,analytics,enterprise software,marketing,marketing analytics,media,search",social media,No,No,No
Kentik,kentik.com,"Kentik is a cloud-based network visibility and analytics solution that provides a panoramic view of any network. Kentik processes tens of billions of data records per day, equipping service providers, Web enterprises and network operations teams with actionable, usable insights that enable making quick, cost-effective decisions.",50,47,3,6%,0,50,,653,499,31%,199,228%,,,,,,7,57,337,2014,B,"August Capital,Blue Ant Investments,Center Electric,Data Collective,David Ulevitch,Engineering Capital,First Round Capital,Glynn Capital Management,Tahoma Ventures,Third Point Ventures,Webb Investment Network",$38.2M¾,8/4/16,"$23,000,000 ",Bay Area,San Francisco,Bay Area,CA,United States,North America,B2B,"analytics,cloud computing,data storage,enterprise software,information security,marketing,marketing analytics,security,storage",big data,No,No,No
Kera,kera.io,"Kera helps SaaS companies increase conversions and improve the usability, engagement and retention of software.",1,1,0,0%,1,0,0%,296,472,-37%,516,-43%,,,,,,55,-2,48,2012,Exited (other),Highline,"$50,000¾",8/1/12,"$50,000 ",Toronto,Toronto,,ON,Canada,North America,"B2B,SaaS",analytics,"big data,gamification,user experience,user experience design",No,No,No
Keylime PR & Marketing,key-lime.co.uk,,,,,,,,,,,,,,,,,,,,,,2008,Exited (other),,Undisclosed,,Undisclosed,Billericay,Billericay,,,United Kingdom,Europe,,"advertising,analytics,marketing,marketing analytics",,No,No,No
Keywee,keywee.co,Keywee analyzes your content and automatically finds qualified audiences that drive business results.,18,17,1,6%,14,4,29%,"4,726","4,477",6%,"3,598",31%,,,,,,23,6,38,2013,Exited (other),"Ben Narasin,Innovation Endeavors,Marker LLC,SGVC,UpWest Labs",$9.1M¾,3/24/15,"$9,100,000 ",New York,New York,New York,NY,United States,North America,B2B,"advertising,analytics,cleantech,email,marketing,marketing analytics,wind power","big data,data mining",No,No,No
Khan Academy,khanacademy.org,You can learn anything. Expert-created content and resources for every subject and level. Always free.,290,283,7,2%,246,44,18%,"4,623,895","4,565,764",1%,"4,489,119",3%,"56,024","57,094",-2%,"58,662",-4%,25,63,423,2006,Exited (other),"AT&T,NewSchools Venture Fund",$9.7M¾,1/20/15,"$2,500,000 ",Paolo Alto,Paolo Alto,Bay Area,CA,United States,North America,"B2B,B2C","analytics,education,gaming,human resources hr,mobile",online learning,Yes,Yes,Yes
Kickfire,kickfire.com,"KickFire is the industry leader in IP Address intelligence, providing B2B firmographics based on IP address through its LIVE Leads, API and Prospector products",5,5,0,0%,6,-1,-17%,"5,926","7,357",-19%,"7,291",-19%,,,,,,103,-1,20,2006,Exited (other),"Accel Partners,Greylock Partners,Mayfield Fund,Pinnacle Ventures",$20.0M¾,7/31/08,"$20,000,000 ",Bay Area,Santa Clara,Bay Area,CA,United States,North America,B2B,"analytics,enterprise software,human resources hr,marketing,marketing analytics",,No,No,No
Kidura,kidura.com,,,,,,,,,5,5,0%,5,0%,,,,,,,,,,Exited (other),,Undisclosed,,Undisclosed,New York,,New York,NY,United States,North America,B2B,"analytics,cloud computing,finance,fitness and wellness,healthcare,pharmaceuticals,physical security,security","big data,data visualization",No,No,No
Kind Intelligence,kindintelligence.com,Kind Intelligence develops ideas that streamline customer experiences within the hospitality industry.,0,1,-1,-100%,1,-1,-100%,18,18,0%,18,0%,,,,,,53,0,27,,Exited (other),"Dale Zylman,David Turner,Douglas McLeod,Jim McCunney,Joakim Nordqvist,Jon Sweede,Julianna Smith,Michael Garcia,Mick Slager,Nicklaus of Florida, Inc.,Rebecca Gill,TNB Financial Services,Vereen Smith","$500,000¾",9/28/12,"$500,000 ",Tallahassee,Tallahassee,,FL,United States,North America,"B2B,B2C,Consulting","analytics,hospitality,mobile,software development",restaurants,No,No,No
Kinetic Global Markets,kinetictradingllc.com,Kinetic Trading Strategies was added in 2013.,1,1,0,0%,1,0,0%,6,6,0%,5,20%,,,,,,74,0,0,,Exited (other),Village Ventures,$3.0M¾,12/31/10,"$2,999,000 ",New York,New York,New York,NY,United States,North America,B2B,"analytics,finance",,No,No,No
KISSmetrics,kissmetrics.com,"Giving you the knowledge you need to make better decisions. Kissmetrics is a revolutionary person-based analytics platform for your whole team. Get product, sales, marketing, customer support working together to improve the metrics that matter.",49,48,1,2%,51,-2,-4%,"1,879,648","1,866,709",1%,"1,802,095",4%,,,,,,44,13,1113,2008,B,"Azure Capital Partners,Cameron Lester,Felicis Ventures,Polaris Partners,Resolute.vc,Shervin Pishevar,SoftTech VC,Tony Conrad,True Ventures",$10.8M¾,7/18/13,"$7,000,000 ",Bay Area,San Francisco,Bay Area,CA,United States,North America,"B2B,SaaS","analytics,customer support,human resources hr,marketing,marketing analytics","analytics,sales",No,No,No
Klipfolio,klipfolio.com,Klipfolio is an online dashboard platform for building powerful real-time business dashboards for your team or your clients.,76,72,4,6%,67,9,13%,"656,343","654,372",0%,"630,923",4%,,,,,,2,14,20,2001,B,"Acadia Woods Partners,BDC Capital Corporation,BDC Venture Capital,BOLDstart Ventures,Converge Venture Partners,Fundfire,Mistral Venture Partners,OMERS Ventures",$19.9M¾,1/5/17,"$12,000,000 ",Ottawa,Ottawa,,ON,Canada,North America,"B2B,B2C","analytics,data storage,finance,marketing,marketing analytics,storage",,Yes,Yes,Yes
"Knightscope, Inc.",knightscope.com,"Knightscope is developing technology to predict and prevent crime utilizing autonomous robots, predictive analytics and social engagement.",33,34,-1,-3%,33,0,0%,643,630,2%,499,29%,,,,,,16,21,156,2013,B,"Flextronics,Kishore Ganji,Konica Minolta,Mihir Bhanot,NTT DoCoMo Ventures,Plug and Play Ventures,Stacy Dean Stephens,William Santana Li",$10.3M¾,11/4/15,"$5,100,000 ",Mountain View,Mountain View,Bay Area,CA,United States,North America,"B2B,B2C","analytics,automotive,hardware,information security,physical security,robotics,security","big data,electric vehicles,robotics",No,No,No
KNIME,knime.org,The leading open analytics platform for data-driven innovation helping organizations to stay ahead of change.,16,15,1,7%,,,,"52,693","57,394",-8%,"70,417",-25%,,,,,,0,0,,2008,Late,Invus Group,$21.4M¾,3/15/17,"$21,421,000 ",,,,,,,B2B,"analytics,data storage,marketing,marketing analytics,storage",,No,No,No
Komprise,komprise.com,Komprise is a data maangement-as-a-service that simplifies and transforms how businesses handle the two biggest problems with data - managing its explosive growth painlessly while unlocking data value.,18,19,-1,-5%,17,1,6%,177,171,4%,182,-3%,,,,,,1,6,6,2014,B,"Bill Moore,Canaan Partners,Sanjay Mehrotra,Walden International",$18.0M¾,2/14/17,"$12,000,000 ",Campbell,Campbell,,CA,United States,North America,B2B,"analytics,data storage,finance,healthcare,information security,legal,marketing,marketing analytics,media,physical storage,security,storage",,No,No,No
Krossover,krossover.com,"Krossover for coaches and athletes offers game film tagged for you, advanced stats, shot charts, tendency reports, telestrations, film exchange, and highlights.",226,231,-5,-2%,239,-13,-5%,"10,864","11,272",-4%,"16,680",-35%,"12,315","12,839",-4%,"8,866",39%,11,-18,88,2009,B,"Active Angels,Admiral Capital Group,Baltimore Angels,Greg Cangialosi,Jarcap,Jeff Keswin,Ken Fox,Larry Stone,Sanjay Chadda,Vayner RSE (RSE Ventures)",$27.9M¾,4/13/16,"$20,000,000 ",New York,New York,New York,NY,United States,North America,"B2B,B2C","analytics,entertainment,gaming,human resources hr,mobile","sports,video",Yes,Yes,Yes
Kurtosys,kurtosys.com,"Kurtosys enables financial institutions to orchestrate their data across websites, documents and portals to increase sales and client servicing efficiency.",189,189,0,0%,168,21,13%,"19,354","19,068",1%,"21,876",-12%,,,,,,39,91,1403,2002,C,"Triangle Peak Partners,True Ventures",$26.6M¾,12/19/13,"$8,000,000 ",New York,New York,London,,United States,North America,"B2B,SaaS","analytics,enterprise software,finance,human resources hr,marketing,marketing analytics",,No,No,No
Landslide CRM,landslide.com,CampaignerCRM provides web based CRM software for small to mid-sized businesses. Experience Mobile CRM today. Watch Demo. Free CRM Trial.,6,6,0,0%,6,0,0%,391,469,-17%,660,-41%,,,,,,76,-7,194,2004,Late,,$9.7M¾,11/15/10,"$1,666,667 ",Pittsburgh,Pittsburgh,Pittsburgh,PA,United States,North America,B2B,"analytics,marketing,marketing analytics","crm,productivity,relationship management",No,No,No
LaunchPoint,launchpointcorporation.com,"Provides information-centric enterprise services for health care organizations, specializing in information management, analytics, and cloud computing.",76,77,-1,-1%,75,1,1%,298,256,16%,112,166%,,,,,,19,39,476,2008,C,Carrick Capital Partners,$26.0M¾,8/19/15,"$22,500,000 ",Itasca,Itasca,Chicago,IL,United States,North America,B2B,"analytics,data storage,enterprise software,health it,healthcare,storage",,No,No,No
Le Pop Up,lepopupshop.com,"Web Hosting from Just Host. Professional Web hosting services with free domain name, unlimited web hosting space and unlimited bandwidth.",,,,,,,,2,2,0%,2,0%,,,,,,,,,,Exited (other),,Undisclosed,,Undisclosed,Los Angeles,,Los Angeles,CA,United States,North America,"B2B,B2C,Marketplace","analytics,fashion,retail","consumer goods,fashion",No,No,No
LeadGenius,leadgenius.com,"LeadGenius is a sales-acceleration solution that provides companies with an accurate, efficient way to qualify, deliver, and convert leads",456,455,1,0%,427,29,7%,"243,069","246,401",-1%,"237,267",2%,,,,,,3,92,177,2011,B,"500 Startups,Alexis Ohanian,Bee Partners,Better Ventures,CRCM,Fuel Capital,FundersClub,Garry Tan,Initialized Capital,Javelin Venture Partners,Kapor Capital,Lumia Capital,SJF Ventures,SV Angel,Sam Altman,Scrum Ventures,Sierra Ventures,YC Continuity",$20.0M¾,12/5/16,"$4,000,000 ",Bay Area,Berkeley,Bay Area,CA,United States,North America,B2B,"analytics,enterprise software,human resources hr,marketing,marketing analytics","crowdsourcing,sales,social good",No,No,No
Leads.com,leads.com,"LEADS by Web.com has provided online advertising to over 37,000 customers since 2005 for all types of businesses.",,,,,,,,3,3,0%,3,0%,,,,,,,,,,Exited (ipo),,Undisclosed,,Undisclosed,Jacksonville,Jacksonville,Jacksonville,FL,United States,North America,"B2B,Consulting","advertising,analytics,customer support,marketing,marketing analytics",,No,No,No
Leadspace,leadspace.com,"The Leadspace predictive analytics platform combines extensive social, web, intent, and structured data to find and score in real time both companies and individuals who have the greatest intent to buy.",93,95,-2,-2%,87,6,7%,"111,327","123,167",-10%,"163,669",-32%,,,,,,19,30,466,2010,B,"Battery Ventures,Jerusalem Venture Partners,Technion Seed,Vertex Venture Capital",$28.0M¾,7/23/15,"$18,000,000 ",Bay Area,San Francisco,Bay Area,CA,United States,North America,B2B,"advertising,analytics,data storage,enterprise software,human resources hr,marketing,marketing analytics,storage",,No,No,No
LeanData,leandatainc.com,"LeanData has created the first-ever visual representation of lead flow through a business. This allows companies to easily identify problem areas and immediately make improvements. LeanData automatically gets leads to the right place in Salesforce, helping our customers become more adaptive, more efficient, and more productive.",47,46,1,2%,42,5,12%,"5,994","5,148",16%,"3,225",86%,,,,,,2,8,11,2012,B,"Correlation Ventures,Felicis Ventures,FundersClub,Sapphire Ventures,Shasta Ventures",$15.1M¾,12/20/16,"$10,000,000 ",Bay Area,Sunnyvale,Bay Area,CA,United States,North America,"B2B,SaaS","analytics,enterprise software,finance,human resources hr,marketing,marketing analytics","crm,crowdsourcing,productivity,relationship management",No,No,No
Leanplum,leanplum.com,"Leanplum is the mobile marketing platform that drives app engagement & ROI. Trusted by top brands like Lyft, Tinder & Zynga. Get a personalized demo today.",110,102,8,8%,81,29,36%,"127,057","123,648",3%,"114,693",11%,,,,,,5,36,91,2012,C,"Alliance of Angels,Andrew Wright,Canaan Partners,Kima Ventures,Kleiner Perkins Caufield & Byers,Lyuben Belov,Seattle 2012 Fall,Shasta Ventures,Techstars,VoiVoda Ventures",$46.2M¾,10/18/16,"$29,000,000 ",Bay Area,San Francisco,Bay Area,CA,United States,North America,"B2B,B2C","advertising,analytics,enterprise software,gaming,marketing,marketing analytics,mobile,travel",,Yes,Yes,Yes
Legion Digtial,legiondigital.com,"Legion Digital Outdoor provides mobile digital billboard advertising and mobile LED video screen rental for outdoor events, video screen for tailgates, outdoor movie rental, and political campaign advertising in the Omaha, Nebraska and Midwest area.",0,1,-1,-100%,1,-1,-100%,5,5,0%,5,0%,,,,,,,,,2008,Exited (other),,Undisclosed,,Undisclosed,Hollywood,Hollywood,Los Angeles,CA,United States,North America,,"advertising,analytics,e-commerce,marketing,marketing analytics",,No,No,No
Lift Labs,liftlabsdesign.com,The owner of this domain has not yet uploaded their website.,4,4,0,0%,4,0,0%,2,2,0%,11,-82%,,113,,113,,42,-1,26,,Exited (acquired),"Rock Health,Rock Health Batch 5 (Summer 2013)",$1.0M¾,9/18/13,"$1,000,000 ",Mountain View,Mountain View,Bay Area,CA,United States,North America,B2C,"analytics,food & beverages,hardware,healthcare,medical devices,robotics","medical devices,social good",Yes,No,Yes
LincolnSEO.org,lincolnseo.org,,0,,,,,,,27,28,-4%,28,-4%,,,,,,,,,2011,Exited (other),,Undisclosed,,Undisclosed,Lincoln,Lincoln,,,United Kingdom,Europe,,"analytics,human resources hr,marketing,marketing analytics",,No,No,No
Linden Lab,lindenlab.com,"Linden Lab is a developer of digital entertainment that inspires users to create, socialize, share -- and have fun.",270,271,-1,0%,273,-3,-1%,"19,560","20,074",-3%,"15,746",24%,,,,,,132,74,1412,1999,B,"Benchmark,Bezos Expeditions,Catamount Ventures,Globespan Capital Partners,Jeff Bezos,Kapor Capital,Kapor Enterprises, Inc.,Mitchell Kapor,Omidyar Network",$19.0M¾,3/1/06,"$11,000,000 ",Bay Area,San Francisco,Bay Area,CA,United States,North America,B2C,"analytics,entertainment,gaming",,No,No,No
Linkea2,linkea2.pe,Linkea2 - Agencia de Marketing Digital & Social Media - Consultoria en Marketing Digital & Social Media,14,13,1,8%,11,3,27%,810,,,,,,,,,,,,,2010,Exited (other),,Undisclosed,,Undisclosed,Lima,Lima,,,Peru,South America,,"analytics,marketing,marketing analytics",,No,No,No
